open_today,open_prev,high_prev,close_prev,low_prev,adj_close_prev,volume,ABER_ZG_5_15,ABER_SG_5_15,ABER_XG_5_15,ABER_ATR_5_15,ACCBL_20,ACCBM_20,ACCBU_20,AD,ADOSC_3_10,ADX_14,DMP_14,DMN_14,AMAT_LR_2,AMAT_SR_2,AO_5_34,OBV,OBV_min_2,OBV_max_2,OBV_EMA_4,OBV_EMA_12,AOBV_LR_2,AOBV_SR_2,BIAS_SMA_26,BOP,AR_26,BR_26,CCI_14_0.015,APO_12_26,AROOND_14,AROONU_14,AROONOSC_14,ATR_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,DEMA_10,DCL_20_20,DCM_20_20,DCU_20_20,DPO_20,EFI_13,EMA_10,ENTP_10,EOM_14_100000000,ER_10,CMF_20,CMO_14,COPC_11_14_10,DEC_1,CDL_DOJI_10_0.1,CG_10,CHOP_14_1_100,CKSPl_10_1_9,CKSPs_10_1_9,K_9_3,D_9_3,J_9_3,KST_10_15_20_30_10_10_10_15,KSTs_9,KURT_30,LDECAY_5,HL2,HLC3,HMA_10,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26,MASSI_9_25,MEDIAN_30,MFI_14,MIDPOINT_2,BULLP_13,BEARP_13,FWMA_10,OHLC4,PDIST,PCTRET_1,MIDPRICE_2,MOM_10,NATR_14,NVI_1,PVI_1,PVO_12_26_9,PVOh_12_26_9,PVOs_12_26_9,PVOL,PVT,PWMA_10,QS_10,QTL_30_0.5,RMA_10,ROC_10,RSI_14,RVGI_14_4,RVGIs_14_4,RVI_14,SINWMA_14,SKEW_30,SLOPE_1,SMA_10,PGO_14,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,PSL_12,SWMA_10,T3_10_0.7,TEMA_10,TRIMA_10,SQZ_20_2.0_20_1.5,SQZ_ON,SQZ_OFF,SQZ_NO,STDEV_30,STOCHFk_14,STOCHFd_3,STOCHk_5,STOCHd_3,SUPERT_7_3.0,SUPERTd_7_3.0,TRIX_30_9,TRIXs_30_9,TRUERANGE_1,TSI_13_25,TTM_TRND_6,VWAP,VWMA_10,WCP,WILLR_14,UI_14,UO_7_14_28,VAR_30,VTXP_14,VTXM_14,WMA_10,ZL_EMA_10,Z_30,LR_14,LOGRET_1,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MAD_30,INC_1,INERTIA_20_14,KCL_20_2,KCB_20_2,KCU_20_2
0.001957,0.002339,0.002374,0.001953,0.001866,0.001952,7350820,0.002395133,0.002701596,0.00208867,0.000306463,0.002010098,0.0026779,0.003466098,171043445.9,-4530208.022,18.29241764,15.18179987,33.96840566,0,1,-0.000528447,495194781,495194781,502545601,500406549.5,507915567.1,0,1,-0.301357989,-0.75984252,59.765713,57.55093003,-239.6629827,-0.000302423,100,0,-100,0.000304704,0.001851097,0.002352,0.002852903,0.002219965,0.001866,0.0026515,0.003437,-9.59E-05,-577.2199898,0.002435959,3.189689187,-2.69E-07,0.493171472,-0.161366838,-35.84887572,-37.80915697,1,0,-5.666288125,52.1688046,0.003146832,0.002671348,24.19317915,32.7299972,7.119543041,-19608.56932,-14019.00616,-0.39260828,0.001953,0.00212,0.002064333,0.002269311,0.00314325,0.002272,0.002348,0.0026515,0.002088,23.33769044,0.002878,52.89648981,0.002142,-0.000128149,-0.000636149,0.002248448,0.002133,0.000638,-0.162162162,0.0021795,-0.00065,15.60186568,656.8675598,1701.90396,-29.4995877,-1.554625985,-27.94496171,14356.15146,11705046632,0.00256718,-5.97E-05,0.002878,0.002601789,-24.97118709,30.77151681,-0.148193935,-0.12910579,32.88085712,0.002553224,-0.284639523,-0.000378,0.0024656,-1.818173517,-10.81850828,-1.684980718,-9.133527558,33.33333333,0.002519267,0.002480352,0.002162195,0.002529917,-0.000489333,0,1,0,0.000376137,9.109947644,22.49438446,27.20340505,36.9923505,0.003007047,-1,0.97458986,1.319438341,0.000508,-19.19689988,-1,0.002361524,0.002482552,0.0020365,-91.53696498,20.27868517,40.49141655,1.41E-07,0.853424994,1.160815124,0.002391055,0.002198099,-2.424115989,0.00232373,-0.176930708,-0.000181503,-6.86E-05,-0.00011294,0.0003258,0,37.01952869,0.002017795,0.002614073,0.003210352
0.00176,0.001957,0.002037,0.00178,0.001769,0.001779,9803180,0.0022302,0.002534099,0.001926301,0.000303899,0.001937928,0.0026106,0.003411678,162045004.6,-7556902.285,19.9254347,14.2197354,34.10944256,0,1,-0.000641426,485391601,485391601,495194781,494400570.1,504450341.6,0,1,-0.35197502,-0.660447761,63.45840131,60.95608417,-228.8311852,-0.000326891,100,28.57142857,-71.42857143,0.000302083,0.001589015,0.0021806,0.002772185,0.002042391,0.001769,0.002603,0.003437,-0.00024955,-737.0385827,0.002316694,3.150683103,-2.58E-07,0.598066298,-0.1594071,-40.93848525,-42.62382673,1,0,-5.760319462,46.32212318,0.003146832,0.002331413,16.47437202,27.31145548,-5.19979488,-22224.44892,-15828.43767,0.123363149,0.00178,0.001903,0.001862,0.002037036,0.00308175,0.0022785,0.0022995,0.002603,0.00191,23.51071584,0.0027725,57.48803086,0.0018665,-0.000361985,-0.000629985,0.002066811,0.00188575,0.000363,-0.088581669,0.0020715,-0.000866,16.97093771,656.8675598,1693.045793,-27.11376452,0.664957751,-27.77872227,17449.6604,11618208428,0.002513201,-8.18E-05,0.0027725,0.00251961,-32.72864701,28.14891584,-0.164485377,-0.142350395,27.09521669,0.002507367,-0.717850998,-0.000173,0.002379,-2.188216288,-11.90076126,-2.213786959,-9.686974297,33.33333333,0.002452833,0.002420819,0.001947417,0.0024755,-0.000564,0,1,0,0.000399377,1.277584204,10.26740163,14.16031078,27.05046045,0.002778183,-1,0.887767844,1.230397274,0.000268,-23.36015067,-1,0.002358971,0.002411807,0.0018415,-99.02222222,21.76462431,36.96397489,1.60E-07,0.871727749,1.187696335,0.0022664,0.002009717,-2.564158071,0.00216471,-0.092753288,-0.000224004,-8.89E-05,-0.000135153,0.000333338,0,35.50401813,0.0019441,0.002534638,0.003125175
0.001959,0.00176,0.001939,0.001939,0.001675,0.001938,9627830,0.002105933,0.002407172,0.001804694,0.000301239,0.001854211,0.0025523,0.003370211,171672834.6,-5044703.821,21.64016095,13.32402006,34.20371602,0,1,-0.000736721,495019431,485391601,495019431,494648114.4,502999432.2,0,1,-0.281770002,0.678030303,63.97196262,60.71673134,-170.0003069,-0.000335109,100,21.42857143,-78.57142857,0.000299362,0.001524048,0.0020888,0.002653552,0.001967407,0.001675,0.002556,0.003437,-6.25E-05,-413.0580752,0.002248022,3.138396309,-3.13E-07,0.376299376,-0.122469176,-30.72545541,-45.79813979,0,0,-5.82720351,42.96258789,0.003146832,0.002230372,18.6019623,24.40829108,6.989304736,-23796.47123,-17308.84125,-0.18967154,0.001939,0.001807,0.001851,0.00186718,0.00307675,0.0022865,0.0022525,0.002556,0.00195,23.67722199,0.002733,49.43711283,0.0018595,-0.000394273,-0.000658273,0.002016734,0.00182825,0.000369,0.089325843,0.001856,-0.000543,15.43901491,665.8001441,1693.045793,-25.07752221,2.160960052,-27.23848226,18668.36237,11704209830,0.002418434,-4.82E-05,0.002733,0.002461549,-21.87751813,33.73850928,-0.188136811,-0.158304698,39.93337736,0.002451637,-0.649196161,0.000159,0.0023247,-1.492028808,-12.41285807,-2.180707014,-10.23215105,41.66666667,0.0023714,0.002351372,0.001884536,0.00240075,-0.0005915,0,1,0,0.000419927,32.27383863,14.22045683,20.20691524,20.52354369,0.0026703,-1,0.801535508,1.142970319,0.000264,-25.0221536,-1,0.002356434,0.002364877,0.001873,-78.34290402,22.67044408,38.03962917,1.76E-07,0.771647307,1.229936642,0.0021864,0.001905587,-1.955656704,0.002081119,0.085559012,-0.000242066,-8.55E-05,-0.000156536,0.000343582,1,36.14044597,0.001893329,0.00247791,0.003062492
0.001827,0.001959,0.002057,0.001824,0.001781,0.001823,6931840,0.002009667,0.002309223,0.00171011,0.000299556,0.001779463,0.0024863,0.003328463,166900915.7,-5076714.643,22.61586306,15.2729478,31.9386304,0,1,-0.000772274,488087591,488087591,495019431,492023905.1,500705302.8,0,1,-0.309623979,-0.489130435,58.03050695,56.68366216,-124.253571,-0.000345955,92.85714286,14.28571429,-78.57142857,0.000297694,0.001530795,0.0019654,0.002400005,0.001878255,0.001675,0.002556,0.003437,-0.0001506,-467.9300073,0.002170927,3.112880359,-2.85E-07,0.471447543,-0.165312792,-34.4087371,-48.82470432,1,0,-5.886409016,43.77410235,0.002740249,0.002228834,16.7014525,21.83934489,6.425667724,-25957.45996,-18670.08295,-0.378531803,0.001824,0.001919,0.001887333,0.001754629,0.00307675,0.0022955,0.0022525,0.002556,0.001962,23.8805691,0.002686,55.30243915,0.0018815,-0.00020352,-0.00047952,0.001941049,0.00190525,0.000437,-0.059308922,0.001866,-0.00071,16.32092923,659.8692519,1693.045793,-25.43120522,1.44582163,-26.87702685,12643.67616,11663097835,0.002289057,-6.83E-05,0.002686,0.002397794,-28.01894238,31.81094502,-0.203057998,-0.176082718,32.69028629,0.002389674,-0.630594155,-0.000115,0.0022537,-1.680029067,-13.09425026,-2.28967937,-10.80457089,33.33333333,0.0022722,0.002274567,0.001800587,0.002316944,-0.0006345,0,1,0,0.000439816,18.21515892,17.25552725,16.25824049,16.87515551,0.0026703,-1,0.715431091,1.056852265,0.000276,-27.00058733,-1,0.002354753,0.002302086,0.0018715,-87.77686628,23.71045516,36.97952347,1.93E-07,0.786563307,1.187080103,0.002095364,0.001798571,-2.015768625,0.001976857,-0.061140485,-0.000262632,-8.49E-05,-0.000177755,0.0003527,0,35.92067409,0.001834155,0.002415633,0.002997112
0.001676,0.001827,0.001852,0.001682,0.001633,0.001681,3700410,0.0018774,0.002171586,0.001583214,0.000294186,0.001701323,0.0024136,0.003261823,164856396.9,-5278819.164,23.86816987,14.45495801,33.8475089,0,1,-0.000857362,484387181,484387181,488087591,488969215.4,498194822.5,0,1,-0.348683427,-0.662100457,58.17736185,56.49307844,-128.0104055,-0.000353045,100,7.142857143,-92.85714286,0.000292073,0.00160912,0.0018356,0.00206208,0.001769839,0.001633,0.002535,0.003437,-0.00024555,-476.1483234,0.002082031,3.076634497,-3.54E-07,0.512553582,-0.130759155,-38.7193437,-53.51141354,1,0,-5.952626728,43.81819576,0.002620058,0.002134751,12.50916138,18.72928372,0.06891669,-28514.58479,-20236.69746,-0.507218849,0.001682,0.0017425,0.001722333,0.001670125,0.00307675,0.0023095,0.002227,0.002535,0.001938,24.10030998,0.0026515,56.67060619,0.001753,-0.000325874,-0.000544874,0.001840105,0.0017485,0.000296,-0.077850877,0.001845,-0.000837,17.3646116,652.0841641,1693.045793,-28.41677316,-1.231797047,-27.18497612,6224.08962,11634289818,0.002138723,-8.19E-05,0.0026515,0.002326214,-33.22747122,29.56482251,-0.207719633,-0.192432438,26.5465883,0.002318089,-0.591852263,-0.000142,0.00217,-1.940853925,-13.6708666,-2.293036561,-11.37783003,33.33333333,0.002154467,0.002191022,0.001690322,0.002213194,-0.000716167,0,1,0,0.000471791,6.61268556,19.03389437,13.49784299,16.65433291,0.002572006,-1,0.628797299,0.97135442,0.000219,-29.36730617,-1,0.002353546,0.002228842,0.00171225,-96.11419508,25.14071077,38.08253282,2.23E-07,0.756487026,1.205588822,0.001991418,0.001728104,-2.080439087,0.001854343,-0.08104833,-0.00028708,-8.75E-05,-0.00019962,0.000371102,0,34.51960823,0.00177795,0.002345763,0.002913577
0.001485,0.001676,0.001676,0.001485,0.001478,0.001484,3788270,0.0017738,0.002061974,0.001485626,0.000288174,0.001664243,0.00233975,0.003133493,161335984.4,-6001736.893,25.36417812,13.71792945,35.99577789,0,1,-0.000908329,480598911,480598911,484387181,485621093.7,495487759.2,0,1,-0.410417335,-0.964646465,55.92447917,54.60780111,-132.3100713,-0.000376731,100,0,-100,0.000285782,0.001400495,0.001742,0.002083505,0.001629236,0.001478,0.00226,0.003042,-0.00040125,-514.7398758,0.00197348,3.013204285,-4.24E-07,0.752753978,-0.064542376,-44.17288591,-60.5949605,1,0,-5.983976551,38.52505065,0.002620058,0.001950876,8.541987213,15.33351822,-5.041074793,-31912.37373,-22178.10199,-0.487366618,0.001485,0.001577,0.001546333,0.001572953,0.00307475,0.0023095,0.002054,0.0024575,0.001897,24.30744417,0.0026415,52.7015514,0.0015835,-0.000402892,-0.000600892,0.001701322,0.00157875,0.000211,-0.117122473,0.001665,-0.00123,19.24456937,652.0841641,1681.333546,-30.81031591,-2.900271832,-27.91004407,5625.58095,11589920663,0.001998867,-0.000122,0.0026415,0.002242093,-45.3038674,26.74358848,-0.223963491,-0.205609261,21.39430998,0.002234524,-0.598844821,-0.000197,0.002047,-2.334017045,-14.95716707,-2.86346963,-12.09369744,25,0.0020274,0.002099274,0.001537952,0.002091583,-0.000842167,0,1,0,0.000512539,1.208981002,8.678941829,11.91764966,13.89124438,0.002375434,-1,0.540519641,0.885801568,0.000204,-32.30423015,-1,0.002351971,0.002110399,0.001531,-99.48224852,27.48167356,30.59460669,2.63E-07,0.744715012,1.322451164,0.001866873,0.001630267,-2.198010618,0.001713791,-0.124568789,-0.000318677,-9.52E-05,-0.000223431,0.000398624,0,32.22629717,0.001711192,0.002263786,0.002816379
0.001304,0.001485,0.001525,0.001308,0.001281,0.001307,4390690,0.001675667,0.001960895,0.001390438,0.000285229,0.001636334,0.0022676,0.003018584,157917004.5,-6839720.766,27.13326532,12.87250484,38.75318574,0,1,-0.000950021,476208221,476208221,480598911,481855944.6,492521676.4,0,1,-0.465081163,-0.725409836,51.65315034,50.14373717,-134.4525182,-0.000404147,100,21.42857143,-78.57142857,0.000282797,0.001138698,0.0016476,0.002156502,0.001471832,0.001281,0.0020875,0.002894,-0.0005512,-552.2273406,0.001852484,2.944414728,-4.01E-07,0.766878246,-0.095139767,-48.578162,-69.19903067,1,0,-6.021785696,31.83955276,0.002620058,0.001796788,6.4372324,12.36808961,-5.424482023,-35505.16871,-24457.57284,-0.405232745,0.001308,0.001403,0.001371333,0.001444907,0.00302675,0.0023095,0.001887,0.002359,0.001881,24.49810028,0.0026305,54.81560505,0.0013965,-0.000443765,-0.000687765,0.001547105,0.00139975,0.000311,-0.119191919,0.0014785,-0.001329,21.62059915,652.0841641,1669.414354,-32.12915639,-3.375289855,-28.75386654,5743.02252,11537587186,0.001893301,-0.0001322,0.0026305,0.002148684,-50.39817975,24.48300627,-0.256979335,-0.220567263,17.05715427,0.002139704,-0.632122385,-0.000177,0.0019141,-2.665183842,-16.5279875,-3.547432047,-12.98055545,25,0.00191,0.001997831,0.001367357,0.001967778,-0.000903833,0,1,0,0.000553904,3.479381443,3.767016002,12.35800911,12.59116726,0.002191943,-1,0.449949949,0.799767848,0.000244,-35.51580196,-1,0.002349759,0.001983019,0.0013555,-98.25693996,30.16009981,29.43233874,3.07E-07,0.725271663,1.308721092,0.001732509,0.001456945,-2.241724613,0.001542829,-0.126915519,-0.000353922,-0.000104392,-0.000249529,0.00043134,0,29.12183548,0.001626317,0.002172759,0.0027192
0.001524,0.001304,0.001555,0.001521,0.001304,0.00152,4765630,0.001597467,0.001880413,0.00131452,0.000282947,0.001613023,0.00221245,0.002927773,161391547.5,-5455203.148,28.60912269,12.81368713,36.27644995,0,1,-0.000969271,480973851,476208221,480973851,481503107.2,490745087.9,0,1,-0.361862807,0.864541833,56.81963714,55.04104399,-102.6888916,-0.000441917,92.85714286,14.28571429,-78.57142857,0.000280526,0.001170109,0.001564,0.001957891,0.00143146,0.001281,0.0020875,0.002894,-0.0003053,-328.3264077,0.001792214,2.925792574,-4.01E-07,0.513766842,-0.130660721,-34.85757019,-73.41500516,0,0,-5.997974157,32.3117046,0.002620058,0.001794709,10.89214833,11.87610918,8.924226628,-37495.66565,-26883.50152,-0.669023951,0.001521,0.0014295,0.00146,0.001368589,0.002984,0.0023095,0.001887,0.002359,0.001857,24.73702797,0.0026135,52.43889332,0.0014145,-0.000349798,-0.000600798,0.001534846,0.001421,0.000289,0.162844037,0.001418,-0.000877,18.44353658,652.0841641,1685.698757,-32.68866356,-3.147837619,-29.54082594,7248.52323,11615192629,0.001807475,-8.73E-05,0.0026135,0.002085915,-36.57214345,31.93875919,-0.28503285,-0.242439689,33.0020041,0.002038844,-0.571313311,0.000213,0.0018264,-1.733173947,-18.54066149,-4.448084831,-14.09257666,25,0.001807233,0.001894748,0.001362261,0.00186275,-0.000956667,0,1,0,0.000564754,30.92783505,11.87206583,12.0888084,12.12148906,0.002191943,-1,0.360832127,0.713123047,0.000251,-35.79069931,-1,0.002347586,0.001890057,0.00147525,-84.50613299,31.865862,36.63070001,3.19E-07,0.695927353,1.284534948,0.001661036,0.001413501,-1.715141899,0.001454648,0.15086876,-0.00036051,-8.88E-05,-0.000271725,0.000448773,1,28.63244533,0.001568477,0.002110686,0.002652896
0.001871,0.001524,0.001889,0.001865,0.001468,0.001864,10344200,0.001568133,0.001860284,0.001275983,0.00029215,0.001551215,0.002166,0.002897215,170556361.3,-1476804.908,28.31968591,19.69828297,32.52202903,0,1,-0.000972738,491318051,480973851,491318051,485429084.7,490833236.1,1,0,-0.201560982,0.809976247,64.6213259,62.79365079,-47.46986481,-0.000458558,85.71428571,7.142857143,-78.57142857,0.00029056,0.001150519,0.0015722,0.001993881,0.001521113,0.001281,0.0020875,0.002894,6.68E-05,226.9209077,0.001805448,2.944929408,-3.37E-07,0.28685259,-0.120717772,-16.27719529,-70.59800281,0,0,-5.813263229,35.49999511,0.002596652,0.001794709,25.07174024,16.27465287,42.66591499,-38488.73152,-29278.16376,-0.826632345,0.001865,0.0016785,0.001740667,0.001435276,0.003123,0.0023095,0.0018275,0.002359,0.001808,25.0777428,0.0025685,53.37026797,0.001693,-1.01E-05,-0.000431113,0.001659434,0.0016865,0.000504,0.226166995,0.0015965,-0.000576,15.57962654,652.0841641,1708.315457,-27.02393085,2.01351607,-29.03744692,19291.933,11849144292,0.001710941,-5.86E-05,0.0025685,0.002063824,-23.59688652,41.91318494,-0.270060749,-0.263008102,44.73895358,0.001945006,-0.468079888,0.000344,0.0017688,-0.425014433,-19.63165434,-4.431262147,-15.2003922,33.33333333,0.001721133,0.001804058,0.00152702,0.001775056,-0.000974667,0,1,0,0.000557946,96.05263158,43.48661602,27.65630293,17.36770681,0.002191943,-1,0.277553577,0.626330766,0.000421,-32.51292916,1,0.002344385,0.001811383,0.00177175,-62.29825694,32.51488338,49.06155035,3.11E-07,0.732861118,1.179863395,0.001668055,0.001528864,-1.037913933,0.001467938,0.20389304,-0.000334121,-4.99E-05,-0.000284205,0.00045348,1,30.88250893,0.001516527,0.002087288,0.002658048
0.001695,0.001871,0.001936,0.00169,0.001688,0.001689,8549310,0.001577933,0.00186714,0.001288726,0.000289207,0.001500656,0.00211765,0.002861656,162144943.4,-2391383.605,27.84386496,19.65228017,30.51832685,1,0,-0.000925721,482768741,482768741,491318051,484364947.2,489592544.5,1,0,-0.258734416,-0.72983871,62.46083142,61.007848,-35.15276347,-0.000461635,78.57142857,0,-78.57142857,0.00028752,0.001149981,0.0015738,0.001997619,0.001534646,0.001281,0.0020875,0.002894,-9.66E-05,-19.22911484,0.001784457,2.958586948,-3.21E-07,0.3092137,-0.158808891,-22.12534031,-71.13089439,1,0,-5.664457089,34.17515733,0.002547249,0.001794709,34.28322202,22.27750925,58.29464755,-39781.35461,-31519.58435,-0.990612368,0.00169,0.001812,0.001771333,0.001544101,0.003145,0.0023185,0.001669,0.002359,0.001763,25.35192067,0.0025265,46.14932886,0.0017775,6.68E-05,-0.000181239,0.001669077,0.00179625,0.000321,-0.09383378,0.001702,-0.000641,17.01301967,642.7007861,1708.315457,-24.08652613,3.960736635,-28.04726277,14448.3339,11768922885,0.001607691,-6.55E-05,0.0025265,0.002026441,-27.4989275,38.79814718,-0.238701068,-0.2676446,37.88398238,0.001858138,-0.351038885,-0.000175,0.0017047,-0.770761432,-20.24815696,-4.038211808,-16.20994515,33.33333333,0.001655867,0.001727808,0.001567725,0.001699583,-0.000955667,0,1,0,0.000558296,62.44274809,63.14107157,38.82231543,26.18914225,0.002191943,-1,0.197966758,0.540039311,0.000248,-30.9007624,1,0.002341898,0.001728297,0.001751,-73.44155844,33.70516406,39.52667077,3.12E-07,0.802635046,1.232147563,0.001653727,0.001595434,-1.264024957,0.001478578,-0.098532524,-0.000323599,-3.15E-05,-0.000292084,0.00046498,0,31.4112838,0.00148581,0.002049451,0.002613091
